tweet_id_customer,customer_text,clean_text,support_reply
293357,Great when I come home to my @115830 parcel smashed to fucking bits!! @AmazonHelp https://t.co/z4CQ6nz0iM,Great when I come home to my parcel smashed to fucking bits!!,"@185874 This is not the experience we want you to have, Jess. Are the items in your parcel damaged? Please let us know. ^FD"
704328,"@115850   
Where is My ORDER # 403-8875209-2013965

Its Preipaid, and i  want it .
😬😬😬
Tomrrow is last date for delivery","Where is My ORDER # - - Its Preipaid, and i want it . 😬😬😬 Tomrrow is last date for delivery","@288305 I understand the urgency, Aditya. We ship the products to meet the estimates. Please wait till the estimated delivery date for the delivery. Also, please don't provide your order details, as we consider it to be personal information.Our Twitter page is public.​^NK"
1239687,@AmazonHelp I tried to cancel an order but I was still charged for it. What can I do?,I tried to cancel an order but I was still charged for it. What can I do?,"@410765 Did you receive any confirmation stating the order was canceled? Sometimes when you place an order, there will be an authorization charge, You can find more out about that by clicking here: https://t.co/mnesXhjmKA ^AY"
237000,@AmazonHelp I won't share it. I did it many time. You all are making us fool. I will never buy any product from @115850 . You betrayed me.,I won't share it. I did it many time. You all are making us fool. I will never buy any product from . You betrayed me.,@172449 I get you being upset about the poor experience. This wasn't intended. Please share your details ^VN (1/2)
222729,@AmazonHelp my primed package isn't here why do you bring my hopes up to just crush them,my primed package isn't here why do you bring my hopes up to just crush them,@169204 I'm so sorry your order hasn't arrived! Have we missed the delivery date shown here: https://t.co/Y5jpI9gRhE? ^AG
669781,"@AmazonHelp Received a Fauly mobile EMEI number: __credit_card__, Z2132. Without using single day got serviced two times, still unable to get Problem solved from Lenovo I PAID FOR NEW, NOT CHEAP ASSEMBLED SET OR SERVICED SET WHICH WE GET IN  LOCAL MARKET. REFUND OR REPLACE","Received a Fauly mobile EMEI number: __credit_card__, Z2132. Without using single day got serviced two times, still unable to get Problem solved from Lenovo I PAID FOR NEW, NOT CHEAP ASSEMBLED SET OR SERVICED SET WHICH WE GET IN LOCAL MARKET. REFUND OR REPLACE","@279742 I'm sorry you received a defective item. If the item is in the return window, kindly return it using this link: https://t.co/3yqvLnyTxi ^SH"
362965,"@115850 Pickup Time: 
Wednesday, Sep 27, 2017, 07:00 - 10:00 Pickup Tracking ID: 
710385220626...picked up long ago. but dint refund.","Pickup Time: Wednesday, Sep , , : - : Pickup Tracking ID: ...picked up long ago. but dint refund.",@201984 Track your return here: https://t.co/LjYILTJREp. (2/2)^YP
2686781,"@115850 care to fix the ""5505 error"" on Prime?! I know atleast 5 people who've been locked out of accounts with no resolution from ur side","care to fix the "" error"" on Prime?! I know atleast people who've been locked out of accounts with no resolution from ur side",@755536 I understand your concern. Please get in touch with our concerned team here: https://t.co/0O4V24EK07.^RI
2384885,@115850 @AmazonHelp Product not picked up since 2 days and no proper response from customer care. Help?,Product not picked up since days and no proper response from customer care. Help?,@491893 your details here: https://t.co/j0jCnOncW0 and I'll get back to you. 2/2 ^SH
1007546,"@AmazonHelp @AmazonHelp @115850 
Is the answer to that 24 or 48 hrs ? 
#24hrsCrap #Nonsense #Crap #48hrsCrap",Is the answer to that or hrs ? #24hrsCrap #Nonsense #Crap #48hrsCrap,"@285229 Please be assured we're working on the issue, we'll get back to you at the earliest. ^HN"
848173,@AmazonHelp Its better you refund my money into my bank account. Or legally i am issuing debit notes on amazon.which is accounter very well  @115851,Its better you refund my money into my bank account. Or legally i am issuing debit notes on amazon.which is accounter very well,@321570 You may check the policy here:https://t.co/jTRDpqC6sp and this is the best resolution we can provide you at this point of time.^NK
465179,@AmazonHelp hi I missed the UPS guy and I have no idea where's he left my package,hi I missed the UPS guy and I have no idea where's he left my package,@225647 Yikes! I'm sorry that happened. You can see what to do here: https://t.co/CJ6mUg7BxZ.  Hope this helps. ^LL
418782,@AmazonHelp Thank you very much :),Thank you very much :),@214882 You're welcome! Please let us know if you have any other questions! ^BH
288185,@AmazonHelp I have been trying to get a refund of an order since 15 days without 1 satisfactory answer from you. Order no. 404-7609579-9353945.,I have been trying to get a refund of an order since days without satisfactory answer from you. Order no. - - .,"@184654 Also, please don't provide your order details as its considered personal info. Our Twitter page is visible to public. 2/2 ^AB"
1802960,@AmazonHelp I sent a message. It was easier.,I sent a message. It was easier.,@541748 Thanks! We've responded to your DM. ^BH
69685,"@AmazonHelp @115850 Guys FOLLOW UP. I was called up by courier boy and told that money will get uploaded. WITHOUT any pressure, this SCAM is not going to end #AmazonFails #AmazonFraud #AmazonPay #AmazonPayQuiz @115851","Guys FOLLOW UP. I was called up by courier boy and told that money will get uploaded. WITHOUT any pressure, this SCAM is not going to end #AmazonFails #AmazonFraud #AmazonPay #AmazonPayQuiz",@130696 I'm sorry about the delay. Kindly reply to the correspondence that we've sent. We'll check this for you. ^SG
2973884,Ordered a Corsair gaming keyboard off @115821 and they shipped me a LEGO Minecraft set https://t.co/1yOHRH7uKB,Ordered a Corsair gaming keyboard off and they shipped me a LEGO Minecraft set,@820179 I'm sorry for the trouble! Let's go over your available options here:  https://t.co/hApLpMlfHN ^ LL
2618176,"@AmazonHelp what do you mean by ""we wouldn't be able to promise""? it says you guys will deliver it by Monday?","what do you mean by ""we wouldn't be able to promise""? it says you guys will deliver it by Monday?","@739909 I get you concern, Inshaf. The products are usually delivered till 8Pm in the evening according to the connected courier support on the delivery date and we wouldn't be able to promise you the exact time of the delivery. So, request you to wait and keep us posted. ^NK"
2981007,Frustrated #Amazon says package was delivered but no package I was home at the time they sent delivery notification 😲😠,Frustrated #Amazon says package was delivered but no package I was home at the time they sent delivery notification 😲😠,"@822194 I'm sorry you haven't received your order! Occasionally orders are accidentally scanned as delivered early. In these cases, they're usually delivered within 1-2 business days. Please let us know if you don't received it soon! ^SB"
1102821,@115850 Frm ystrdy the status remains same. We hvn't hold payment by any means. Nobody infrmd. We called the prsn bt he is having dayoff. https://t.co/0S6PkmDcDj,Frm ystrdy the status remains same. We hvn't hold payment by any means. Nobody infrmd. We called the prsn bt he is having dayoff.,@380239 Sorry for the mess. Please report this to our team here: https://t.co/vlvfJr4nN9. They'll be happy to help you. (1/2) ^ST
802426,@AmazonHelp Am not getting answer entire day from customer care and shared  me login link how funny reply Amazon. Very very bad experience with Amazon,Am not getting answer entire day from customer care and shared me login link how funny reply Amazon. Very very bad experience with Amazon,@285220 Sorry for the trouble with delivery of your order. (1/2) ^HD
1258992,"@AmazonHelp Been hearing the same cliche from last 10 days, dont worry atul, be rest assured bla bla bla, its time that you guys deliver the phone","Been hearing the same cliche from last days, dont worry atul, be rest assured bla bla bla, its time that you guys deliver the phone","@414992 I'm sorry its taking longer than expected, we'll get back to you with an update at the earliest. Appreciate your patience. ^EM"
686652,@AmazonHelp The error message is “The promotional code you entered is not valid”,The error message is “The promotional code you entered is not valid”,@283952 Under the price for the item you should see who the item is sold and fulfilled by listed. Does it say Amazon? ^SC
33303,@AmazonHelp My order is still not received. There is a huge problem in your delivery. This the 3rd day now. Being a prime member I am facing this. 😡😡😡,My order is still not received. There is a huge problem in your delivery. This the 3rd day now. Being a prime member I am facing this. 😡😡😡,@123358 We have emailed you here: https://t.co/8DAc10S7ww Kindly check &amp; reply to it for further assistance. ^SY
2170870,@AmazonHelp I placed order on amazon Details for Order #408-0944874-8947504  and I was earlier shown that it will be delivered on 3 Rd Nov . However l,I placed order on amazon Details for Order # - - and I was earlier shown that it will be delivered on Rd Nov . However l,"@267723 I'm sorry about your recent experience. Please share your details, here:  https://t.co/beaaDm0muc &amp; I'll contact you. (1/2)^SY"
2349581,@115850 Paid more than MRP for an order and blocked to contact customer care! Care to Explain?,Paid more than MRP for an order and blocked to contact customer care! Care to Explain?,"@679146 My apologies for the trouble you've had, Aditi. However, pricing and offers are a decision of the seller and our prices do fluctuate on regular basis. The price that you currently see on the product page is the best offer the seller is able to provide. ^KS"
2331884,@115821 ur customer service rep Andrew just basically told me too bad re 2 day shipping.  SMH #walmarthereicome #cxlamazonprime,ur customer service rep Andrew just basically told me too bad re day shipping. SMH #walmarthereicome #cxlamazonprime,@674994 I'm sorry for the wait! Two-Day shipping refers to transit time in business days once an order's shipped! (1/2)
2523322,"@AmazonHelp Did so already. They said to try via web (vs app), which I did, but doesn’t work either.","Did so already. They said to try via web (vs app), which I did, but doesn’t work either.",@202088 I understand. Can you please link us to the item? What size were you trying to select? ^JM
460072,#Amazon they gave my package to a “resident” but I was here and they didn’t give it to me. Now they want to wait for me to get a refund. They gave it to someone else when I was the only one here so #Amazonfail,#Amazon they gave my package to a “resident” but I was here and they didn’t give it to me. Now they want to wait for me to get a refund. They gave it to someone else when I was the only one here so #Amazonfail,"@224317 I'm sorry for your poor experience, Emiley. We would like to help in any way that we can. Please let us know who the shipper is, found here: https://t.co/bPwYH7MGP3  ^SE"
2617306,@AmazonHelp Hello. No reason for delay email for any of the purchases.,Hello. No reason for delay email for any of the purchases.,"@739725 That's strange! Does the carriers tracking site give any indication as to the delay? Please let us know, we'd like to help where we can. ^KL"
349426,@AmazonHelp I have done my bit long back but the response from your end is pathetic. Pls relook and update immediately. Thanks!!!,I have done my bit long back but the response from your end is pathetic. Pls relook and update immediately. Thanks!!!,@158476 Kindly reply to the email received from us and we shall get back to you on this. ^SH
2769759,@AmazonHelp Please investigate the issue and get back to me asap,Please investigate the issue and get back to me asap,"@274962 Definitely, Vishal. Could you confirm If you have contacted the support team through link provided earlier? ^NK"
317901,@AmazonHelp I ordered 1 and now have 3 different charges in my account. Just want me refund to the charges I haven't authorised. https://t.co/10A3jy2BbX,I ordered and now have different charges in my account. Just want me refund to the charges I haven't authorised.,@191863 Please contact us here: https://t.co/JzP7hlA23B to look into this with an agent. ^JJ
2019963,@AmazonHelp 406-4958392-9875525 unbelievable &amp; apathetic attitude of seller &amp; ur cust ser. If there r words 2 describe it; stinks &amp; reeks.,- - unbelievable &amp; apathetic attitude of seller &amp; ur cust ser. If there r words describe it; stinks &amp; reeks.,"@597341 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 2/2"
258873,"That feeling when you're waiting for your Amazon order and it just keeps saying ""out for delivery."" 😱😱😱","That feeling when you're waiting for your Amazon order and it just keeps saying ""out for delivery."" 😱😱😱",@177545 We know you're excited! Please let us know if you haven't received your order by 8PM! ^KJ
516659,"@AmazonHelp Yes, as I replied last night, the carrier is UPS.","Yes, as I replied last night, the carrier is UPS.",@239080 Sorry for the delay! Please let us know if you're package does not arrive on the newly scheduled date. ^AP
174571,Amazon delivery to arrive by 9pm. 30min ago it was listed as out for delivery in Toronto. If it makes it here I will be very impressed.,Amazon delivery to arrive by 9pm. 30min ago it was listed as out for delivery in Toronto. If it makes it here I will be very impressed.,@156931 Keep us posted Luke ^CH
1296816,"@AmazonHelp Here's a reference from Amazon itself, this isn't a Wirecutter code. https://t.co/raEAVdqGXz","Here's a reference from Amazon itself, this isn't a Wirecutter code.",@422739 I'm sorry! It looks like this tweet's from 2015. To confirm; are the items in your Prime Now cart from Whole Foods? ^WT
1265690,@AmazonHelp 48hrs completed. No action from your team. Is this the quality of Amazon resolution team?,48hrs completed. No action from your team. Is this the quality of Amazon resolution team?,"@416378 You should've received an email from us, kindly check your inbox here: https://t.co/deS2TU9Xfp and reply if needed. ^MS"
639444,"@148056 @148057 @115850 @AmazonHelp One of my international package was returned because I refused to share my adhar details over a call, when all you need is KYC authentication for international deliveries. This adhar card obsession needs to die!","One of my international package was returned because I refused to share my adhar details over a call, when all you need is KYC authentication for international deliveries. This adhar card obsession needs to die!",@274433 Our support team would be happy to help you out! Please contact us from here: https://t.co/vlvfJr4nN9. ^MP
434590,"@AmazonHelp i have made a payment , it should be deliver to be not to anyone apart from my family member or if i say hand over to neighbour or any one..","i have made a payment , it should be deliver to be not to anyone apart from my family member or if i say hand over to neighbour or any one..",@218249 I'm sorry about the trouble with the delivery agent. Please revert our email with your complaint. [1/2] ^HA
1370728,"@AmazonHelp Well, it's 8pm, and still no package.","Well, it's 8pm, and still no package.",@439071 We want to take a closer look at this delivery! Please reach out to us here for further assistance: https://t.co/hApLpMlfHN ^SH
479305,"@115830 my order hasn’t arrived and apparently you now can’t tell me I’m going to receive it, can you help pls?","my order hasn’t arrived and apparently you now can’t tell me I’m going to receive it, can you help pls?",@228908 I'm so sorry to hear you haven't received your order yet! What does the actual tracking show? https://t.co/aaDyEz1VgE ^RO
1521122,@115821 what am I supposed to do today is the 3rd https://t.co/HfdI2lPpby,what am I supposed to do today is the 3rd,@472822 I'm so sorry your order is running that late! We can look into options in real time here: https://t.co/hApLpMlfHN ^BL
1727453,Dear @115850 My order number 408-4812252-6960342 has not been delivered. Been a month now. Maybe someone gives a shit and gets in touch?,Dear My order number - - has not been delivered. Been a month now. Maybe someone gives a shit and gets in touch?,"@522417 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^VH"
2880541,Guys never trust @115850 they have cheated with me plz see attachment how they have cheated me. They are not giving proof.@115850 return my money. https://t.co/vqc4kU0f35,Guys never trust they have cheated with me plz see attachment how they have cheated me. They are not giving proof. return my money.,"@144968 I'm sorry for the unpleasant experience, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. ^SI"
435084,I don't know why I pay for @115821 prime. Ive never gotten a preorder game on time to date. Seriously amazon?,I don't know why I pay for prime. Ive never gotten a preorder game on time to date. Seriously amazon?,"@218353 We're sorry for the trouble! When you ordered this, was release date-date delivery selected: https://t.co/32ASrkqlko? ^WM"
2619679,Amazon say my package is delivered but An Post say its in their mailing center 🤔,Amazon say my package is delivered but An Post say its in their mailing center 🤔,@740266 I'm sorry your order didn't arrive as expected! Reach out to us here: https://t.co/JzP7hlA23B so we can look into this with you. ^AH
2608110,"@115850 gift card problem We had a problem redeeming your gift card / voucher
There are multiple issues that could result in this error.",gift card problem We had a problem redeeming your gift card / voucher There are multiple issues that could result in this error.,@737747 Sorry to know you're unable to redeem the gift card. ^NR 1/2
1431354,"@AmazonHelp Last question can i replace the product from the another one, viz:- boat wants to replace with skull candy, please a request to help.","Last question can i replace the product from the another one, viz:- boat wants to replace with skull candy, please a request to help.",@452379 I'm afraid we'll not be able to provide replacement with a different product. ^GK
1776406,@115821 So how does a customer get actual help from Amazon? After hours on the phone and chat the resolution that was promised was apparently never done. Is this how Amazon deals with its customers now?,So how does a customer get actual help from Amazon? After hours on the phone and chat the resolution that was promised was apparently never done. Is this how Amazon deals with its customers now?,@533814 So sorry to hear that. Is this involving the package that was delivered to the incorrect address? We'd like to help! ^BL
1692602,"@115830 hey team, how do I complain about quality of goods?","hey team, how do I complain about quality of goods?",@513713 We'd be happy to give some direction. Can you tell us more about the situation? ^MJ
2251880,@115850 If you are not able to deliver product by givivg various excuses then why you selling? Please do some homework before come to sale,If you are not able to deliver product by givivg various excuses then why you selling? Please do some homework before come to sale,"@656001 I'm sorry, could you please let us know about what went wrong? ^SI"
89202,"@AmazonHelp The account specialist did have a look - as long as I don't provide the details is stays locked. I will NOT provide the details, so you can keep the account and have fun with it! All I want is my giftcard money back which I'm entitled too as nothing will be ordered (ever again!)","The account specialist did have a look - as long as I don't provide the details is stays locked. I will NOT provide the details, so you can keep the account and have fun with it! All I want is my giftcard money back which I'm entitled too as nothing will be ordered (ever again!)","@135293 Unfortunately we cannot pay out the value of your gift card. Please find the complete T&amp;C here: https://t.co/jYS5OWl3sZ If you cancel an order the value of the gift card will be transferred back to your Amazon account, which is why it is necessary to get it unlocked. ^LN"
206983,"@AmazonHelp It might hv been, if u look at my acc U can see I've had over 60 parcels - same add. Supervisor said she would call in 1 hour. 70 mins ago.","It might hv been, if u look at my acc U can see I've had over parcels - same add. Supervisor said she would call in hour. mins ago.",@165008 We can't view account information over Twitter. Please allow the supervisor a bit more time to reach you. Keep us posted! ^LB
1487684,@115850 still my refund not credit to my account even product return before 4 days before https://t.co/M4cTV6pxVa,still my refund not credit to my account even product return before days before,@465530 Refund will be initiated as soon as we receive the return. Please don’t provide your order/account details 1/2
1765199,@AmazonHelp Thanks I know that. I wondered why it hasn’t been next day delivery if I paid for prime. I needed it today for a gift.,Thanks I know that. I wondered why it hasn’t been next day delivery if I paid for prime. I needed it today for a gift.,@530950 I completely understand the urgency. Did we miss the delivery date promised in the order confirmation e-mail? ^EB
884938,"Why does @115821 refuse to show products that literally match, exactly, the search phrase entered? Way to make search worthless!","Why does refuse to show products that literally match, exactly, the search phrase entered? Way to make search worthless!",@330134 This isn't the experience we want you to have. Is there a certain search result you're noticing this with? ^BH
2663769,@AmazonHelp I have access to my account yes but it says I don’t have any orders which was my original problem but the payment is processed,I have access to my account yes but it says I don’t have any orders which was my original problem but the payment is processed,@750624 Is it possible that you are logged in to a different account? Is the acc on https://t.co/nUUp5MLhYl or .co.uk? ^JJ
702896,@AmazonHelp Is there anything that the Phillips home hub can control that the echo plus can’t?,Is there anything that the Phillips home hub can control that the echo plus can’t?,@287893 The hub included in the Echo plus is a ZigBee smart home hub. There is a lot of information online about ZigBee but essentially Phillips (and a lot of other smart home manufacturers) use this tech for their connections. ^MI
1260498,"Hey @115821 what's up w/ placing an order today &amp; ""2-day"" Prime shipping has it arriving Mon? Shouldn't I get it on Sat? nbd, just wondering","Hey what's up w/ placing an order today &amp; "" -day"" Prime shipping has it arriving Mon? Shouldn't I get it on Sat? nbd, just wondering","@415316 Hello, can you check and confirm that you have weekend delivery active on your address. On occasions, it might be disabled. ^CR"
